Sno,District,Block,Village,Avg Rainfall,LAT,LONG,Depth,Elevation,May_decade_bgl,Aug_decade_bgl,Nov_decade_bgl,Jan_decade_bgl,May_bgl,Aug_bgl,Nov_bgl,Jan_bgl,May_rise,Aug_rise,Nov_rise,Jan_rise
W253125074192701,BHILWARA,Mandal,MALAS Pz,74.32,25.52,0.5,200,445,15.94,10.38,9.25,12.33,21,15,12.16,13.95,5.06,4.63,2.92,1.63
W251100075053801,BHILWARA,Mandalgarh,MANDALGARH1,75.09,25.18,0.5,30,351,16.38,12.54,10.83,12.34,20.7,15.7,11.08,6.65,4.32,3.16,0.26,-5.69
W251800074322102,BHILWARA,Suwana,MCI ( Pur ),74.54,25.3,0.5,2001,392,4.88,2.4,2.89,8,4.9,4.1,4.38,4.5,0.03,1.7,1.49,-3.5
W250352075174201,BHILWARA,Bijoliya,PAPARBAR,75.3,25.06,0.5,200,439,18.1,15.5,9.83,6.75,39.8,38.1,8.9,6.15,21.7,22.6,-0.93,-0.6
W254600074213901,BHILWARA,Asind,PARASOLI,74.36,25.78,0.5,200,433,11.4,11.63,10.07,11.7,18.2,9.8,9.4,9.65,6.8,-1.83,-0.67,-2.05
W253104075053001,BHILWARA,Kotri,PAROLI,75.09,25.52,0.3,10.4,341,4.21,2.51,2.84,2.8,3.8,2.8,2.45,2.7,-0.41,0.29,-0.39,-0.1
W254631074304801,BHILWARA,Hurda,PHALAMADA,74.51,25.78,0.5,200,345,17.73,15.15,7.6,7.18,15.75,15.55,14.6,14.75,-1.98,0.4,7,7.58
W252306074063001,BHILWARA,Raipur,PITAKHERA,74.11,25.39,1,24.3,544,15.17,8.64,8.08,10.06,20.3,17.2,9.15,10.5,5.13,8.56,1.07,0.44
W250812074130201,BHILWARA,Sahara,POTLAN,74.22,25.14,0.5,200,441,5.08,2.28,3.23,5.08,4.7,4.9,3.92,4.25,-0.38,2.63,0.7,-0.83
W254152074591101,BHILWARA,SHAHPURA,Rahad,74.99,25.7,0.5,200,304,2.8,1.55,1.81,1.75,3.25,2.4,4.55,4.7,0.45,0.85,2.74,2.95
W253800074360001,BHILWARA,Banera,RAILA ROAD,74.6,25.63,0.85,26,431,13.01,8.02,7.68,7.86,12.3,6.25,6.4,6.65,-0.71,-1.77,-1.28,-1.21
